"(PDH-CSV 4.0) (America/Sao_Paulo)(180)","\\desktop-qlgnca5\memória\% bytes confirmados em uso",
"2023-9-16 14:8:8.479","32.785213470458984",
"2023-9-16 14:8:9.475","32.785377502441406",
"2023-9-16 14:8:10.486","32.80513381958008",
"2023-9-16 14:8:11.488","32.80971145629883",
"2023-9-16 14:8:12.495","32.802040100097656",
"2023-9-16 14:8:13.495","32.78620147705078",
"2023-9-16 14:8:14.498","32.777626037597656",
"2023-9-16 14:8:15.506","32.76224136352539",
"2023-9-16 14:8:16.514","32.75778579711914",
"2023-9-16 14:8:17.521","32.753536224365234",
"2023-9-16 14:8:18.527","32.76343536376953",
"2023-9-16 14:8:19.537","32.75407409667969",
"2023-9-16 14:8:20.541","32.758323669433594",
"2023-9-16 14:8:21.538","32.7619514465332",
"2023-9-16 14:8:22.549","32.75069046020508",
"2023-9-16 14:8:23.553","32.76731491088867",
"2023-9-16 14:8:24.559","32.76384735107422",
"2023-9-16 14:8:25.561","32.762611389160156",
"2023-9-16 14:8:26.564","32.77226257324219",
"2023-9-16 14:8:27.570","32.7514762878418",
"2023-9-16 14:8:28.576","32.743431091308594",
"2023-9-16 14:8:29.587","32.736419677734375",
"2023-9-16 14:8:30.593","32.735801696777344",
"2023-9-16 14:8:31.592","32.726810455322266",
"2023-9-16 14:8:32.594","32.7022705078125",
"2023-9-16 14:8:33.600","32.690433502197266",
"2023-9-16 14:8:36.641","32.64572525024414",
"2023-9-16 14:8:37.618","32.67171096801758",
"2023-9-16 14:8:38.622","32.649932861328125",
"2023-9-16 14:8:39.623","32.650054931640625",
"2023-9-16 14:8:40.622","32.65385055541992",
"2023-9-16 14:8:41.630","32.743431091308594",
"2023-9-16 14:8:42.634","32.7567138671875",
"2023-9-16 14:8:43.725","32.660614013671875",
"2023-9-16 14:8:44.639","32.68750762939453",
"2023-9-16 14:8:45.640","32.7134895324707",
"2023-9-16 14:8:48.681","32.73955535888672",
"2023-9-16 14:8:49.696","32.67938232421875",
"2023-9-16 14:8:50.696","32.759559631347656",
"2023-9-16 14:8:52.134","32.58501434326172",
"2023-9-16 14:8:54.150","32.59173583984375",
"2023-9-16 14:8:56.118","32.61796951293945",
"2023-9-16 14:8:57.118","32.53337860107422",
"2023-9-16 14:8:58.149","32.525047302246094",
"2023-9-16 14:9:0.134","32.52022171020508",
"2023-9-16 14:9:1.118","32.51551818847656",
"2023-9-16 14:9:2.149","32.49168014526367",
"2023-9-16 14:9:4.118","32.4803352355957",
"2023-9-16 14:9:5.149","32.49176025390625",
"2023-9-16 14:9:7.118","32.49040222167969",
"2023-9-16 14:9:8.634","32.508052825927734",
"2023-9-16 14:9:10.118","32.50062942504883",
"2023-9-16 14:9:11.150","32.49225616455078",
"2023-9-16 14:9:13.149","32.5062370300293",
"2023-9-16 14:9:15.149","32.47493362426758",
"2023-9-16 14:9:16.391","33.052764892578125",
"2023-9-16 14:9:17.349","32.99848556518555",
"2023-9-16 14:9:18.389","32.965450286865234",
"2023-9-16 14:9:19.349","32.99155807495117",
"2023-9-16 14:9:21.149","32.505496978759766",
"2023-9-16 14:9:23.118","32.57197952270508",
"2023-9-16 14:9:26.212","32.76215744018555",
"2023-9-16 14:9:28.150","32.69047546386719",
"2023-9-16 14:9:30.165","32.74912643432617",
"2023-9-16 14:9:32.540","32.81990051269531",
"2023-9-16 14:9:34.277","33.37125015258789",
"2023-9-16 14:9:35.464","33.6927490234375",
"2023-9-16 14:9:36.310","33.67823028564453",
"2023-9-16 14:9:37.313","33.57809066772461",
"2023-9-16 14:9:38.321","33.59590530395508",
"2023-9-16 14:9:39.321","33.57573699951172",
"2023-9-16 14:9:40.343","33.50442886352539",
