"(PDH-CSV 4.0) (America/Sao_Paulo)(180)","\\desktop-qlgnca5\memória\% bytes confirmados em uso",
"2023-9-16 14:4:31.560","33.29940414428711",
"2023-9-16 14:4:32.562","33.31850051879883",
"2023-9-16 14:4:33.572","33.29787826538086",
"2023-9-16 14:4:34.566","33.283729553222656",
"2023-9-16 14:4:35.571","33.279605865478516",
"2023-9-16 14:4:36.578","33.11726760864258",
"2023-9-16 14:4:37.571","33.06843566894531",
"2023-9-16 14:4:38.591","33.0333366394043",
"2023-9-16 14:4:39.590","33.037174224853516",
"2023-9-16 14:4:40.602","33.04579162597656",
"2023-9-16 14:4:41.604","33.03358459472656",
"2023-9-16 14:4:42.603","33.05292892456055",
"2023-9-16 14:4:43.614","33.06233215332031",
"2023-9-16 14:4:44.643","33.06612777709961",
"2023-9-16 14:4:45.640","33.148162841796875",
"2023-9-16 14:4:46.628","33.13797378540039",
"2023-9-16 14:4:47.637","33.138511657714844",
"2023-9-16 14:4:49.118","33.1444091796875",
"2023-9-16 14:4:50.149","33.047607421875",
"2023-9-16 14:4:52.134","33.13446807861328",
"2023-9-16 14:4:53.212","33.23716735839844",
"2023-9-16 14:4:55.134","33.80183792114258",
"2023-9-16 14:4:56.165","33.17072296142578",
"2023-9-16 14:4:57.300","33.33409118652344",
"2023-9-16 14:4:58.296","33.36613464355469",
"2023-9-16 14:4:59.278","33.18779754638672",
"2023-9-16 14:5:0.277","33.22128677368164",
