(PDH-CSV 4.0) (America/Sao_Paulo)(180),\\desktop-qlgnca5\memória\% bytes confirmados em uso
35:47.0,30.28474998
35:48.0,30.23731804
35:49.0,30.1741333
35:50.0,30.17607117
35:51.0,30.1854744
35:52.0,30.16670799
35:53.0,30.21702576
35:54.0,30.19677544
35:55.0,30.18337059
35:56.0,30.19273376
35:57.0,30.19009399
35:58.0,30.21554184
35:59.0,30.21504593
36:00.0,30.24098969
36:01.0,30.16200638
36:02.0,30.17499924
36:03.0,30.16942978
36:04.0,30.1945076
36:05.0,30.22873878
36:06.2,30.24721718
36:07.0,30.19223785
36:08.0,30.19137192
36:09.1,30.12377357
36:10.1,30.24993896
36:11.1,30.18865013
36:12.1,30.18106079
36:13.1,30.18036079
36:14.1,30.2447834
36:15.1,30.24647522
36:16.1,30.15693283
36:17.1,30.24647522
36:18.1,30.26668358
36:19.1,30.272995
36:20.1,30.32685852
36:21.1,30.26796341
36:22.1,30.26738548
36:23.1,30.19001198
36:24.1,30.20931435
36:25.1,30.20700455
36:26.1,30.20019913
36:27.1,30.2545166
36:28.1,30.23620415
36:29.1,30.2480011
36:30.1,30.24936104
36:32.1,30.26590157
36:33.1,30.26140594
36:34.2,30.21693039
36:35.1,
36:36.2,
36:37.2,
36:38.2,
36:39.2,
36:40.2,
36:41.2,
36:42.2,
36:43.2,
36:44.2,
36:45.2,
36:46.2,
36:47.2,
36:48.2,
36:49.2,
36:50.2,
36:51.2,
36:52.2,
36:53.2,
36:54.2,
36:55.2,
36:56.2,
36:57.2,
36:58.2,
36:59.2,
37:00.2,
37:01.3,
37:02.2,
37:03.3,
37:04.3,
37:05.3,
37:06.3,
37:07.3,
37:08.3,
37:09.3,
37:10.3,
37:11.3,
37:12.3,
37:13.3,
37:14.3,
37:15.3,
37:16.3,
37:17.3,
37:18.3,
37:19.3,
37:20.3,
37:21.3,
37:22.3,
37:23.3,
37:24.3,
37:25.4,
37:26.4,
37:27.4,
37:28.4,
37:29.4,
37:30.4,
37:31.4,
37:32.4,
37:33.4,
37:34.4,
37:35.4,
37:36.4,
37:37.4,
37:38.4,
37:39.4,
37:40.4,
37:41.4,
37:42.4,
37:43.4,
37:44.4,
37:45.4,
37:46.5,
37:47.5,
37:48.5,
37:49.5,
37:50.5,
37:51.5,
37:52.5,
37:53.5,
37:54.5,
37:59.3,
38:00.3,
38:01.3,
38:02.3,
38:03.3,
38:04.3,
38:05.3,
38:06.3,
38:07.3,
38:08.3,
38:09.3,
38:10.3,
38:11.3,
38:12.3,
38:13.3,
38:14.3,
38:15.4,
38:16.4,
38:17.4,
38:18.4,
38:19.4,
38:20.4,
38:21.4,
38:22.4,
38:23.4,
38:24.4,
38:25.4,
38:26.4,
38:27.4,
38:28.4,
38:29.4,
38:30.4,
38:31.4,
38:32.4,
38:33.4,
38:34.4,
38:35.4,
38:36.4,
38:37.4,
38:38.4,
38:39.4,
38:40.4,
38:41.4,
38:42.5,
38:43.5,
38:44.5,
38:45.5,
38:46.5,
38:47.5,
38:48.5,
38:49.5,
38:50.5,
38:51.5,
38:52.5,
38:53.5,
38:54.5,
38:55.5,
38:56.5,
38:57.5,
38:59.5,
39:00.5,
39:01.5,
39:02.5,
39:03.5,
39:04.5,
39:05.5,
39:06.5,
39:07.5,
39:08.5,
39:09.6,
39:10.6,
39:11.6,
39:12.6,
39:13.6,
39:14.6,
39:15.6,
39:16.6,
39:17.6,
39:18.6,
39:19.6,
39:20.6,
39:21.6,
39:22.6,
39:23.6,
39:24.6,
39:26.6,
39:27.6,
39:29.6,
39:30.6,
39:31.7,
39:32.7,
39:33.7,
39:34.7,
39:35.7,
39:36.7,
39:37.7,
39:38.7,
39:39.7,
39:40.7,
39:41.7,
39:42.7,
39:43.7,
39:44.7,
39:45.7,
39:46.7,
39:47.7,
39:48.7,
39:49.7,
39:50.7,
39:51.7,
39:52.7,
39:53.7,
39:54.7,
39:55.7,
39:56.7,
39:57.7,
39:58.8,
39:59.7,
40:00.7,
40:01.7,
40:02.7,
40:03.8,
40:04.7,
40:05.8,
40:06.8,
40:07.8,
40:08.8,
40:09.8,
40:10.8,
40:11.8,
40:12.8,
40:13.8,
40:14.8,
40:15.8,
40:16.8,
40:17.8,
40:18.8,
40:19.8,
40:20.8,
40:21.8,
40:22.9,
40:23.9,
40:24.9,
40:25.9,
40:26.9,
40:27.9,
40:28.9,
40:29.9,
40:30.9,
40:31.9,
40:33.0,
40:34.0,
40:35.0,
40:36.0,
40:37.0,
40:38.0,
40:39.0,
40:40.0,
40:41.0,
40:42.0,
40:43.0,
40:44.0,
40:45.1,
40:46.0,
