"(PDH-CSV 4.0) (America/Sao_Paulo)(180)","\\desktop-qlgnca5\memória\% bytes confirmados em uso",
"2023-9-16 15:0:21.737","30.606618881225586",
"2023-9-16 15:0:23.127","30.58921241760254",
"2023-9-16 15:0:25.134","30.551185607910156",
"2023-9-16 15:0:26.138","30.546607971191406",
"2023-9-16 15:0:28.129","30.5388126373291",
"2023-9-16 15:0:30.130","30.53369903564453",
"2023-9-16 15:0:31.114","30.5427303314209",
"2023-9-16 15:0:32.114","30.543350219726562",
"2023-9-16 15:0:33.130","30.561290740966797",
"2023-9-16 15:0:35.114","30.54174041748047",
"2023-9-16 15:0:36.114","30.52907943725586",
"2023-9-16 15:0:38.114","30.535430908203125",
"2023-9-16 15:0:39.115","30.533533096313477",
"2023-9-16 15:0:40.114","30.536914825439453",
"2023-9-16 15:0:41.130","30.520252227783203",
"2023-9-16 15:0:43.114","30.66596794128418",
"2023-9-16 15:0:44.239","30.842987060546875",
"2023-9-16 15:0:46.115","31.164196014404297",
"2023-9-16 15:0:47.130","31.10212516784668",
"2023-9-16 15:0:49.114","31.038320541381836",
"2023-9-16 15:0:50.114","30.953893661499023",
"2023-9-16 15:0:51.130","31.086286544799805",
"2023-9-16 15:0:52.177","31.131078720092773",
"2023-9-16 15:0:54.146","31.0970516204834",
"2023-9-16 15:0:56.135","31.030813217163086",
"2023-9-16 15:0:57.140","31.01988410949707",
"2023-9-16 15:0:59.121","31.042898178100586",
"2023-9-16 15:1:0.126","31.039928436279297",
"2023-9-16 15:1:1.144","31.04454803466797",
"2023-9-16 15:1:3.131","31.677066802978516",
"2023-9-16 15:1:5.125","31.755348205566406",
"2023-9-16 15:1:6.144","31.78887939453125",
"2023-9-16 15:1:8.124","31.810903549194336",
"2023-9-16 15:1:9.124","31.797170639038086",
"2023-9-16 15:1:10.155","31.83338165283203",
"2023-9-16 15:1:14.124","31.81403923034668",
"2023-9-16 15:1:23.983","31.95294952392578",
"2023-9-16 15:1:24.834","31.8837833404541",
"2023-9-16 15:1:25.813","31.767803192138672",
"2023-9-16 15:1:26.817","31.781002044677734",
"2023-9-16 15:1:27.817","31.7475528717041",
"2023-9-16 15:1:29.124","31.77716636657715",
"2023-9-16 15:1:30.140","31.793251037597656",
"2023-9-16 15:1:32.124","31.996461868286133",
"2023-9-16 15:1:33.140","31.841053009033203",
"2023-9-16 15:1:35.124","31.767391204833984",
"2023-9-16 15:1:36.124","31.65038299560547",
"2023-9-16 15:1:38.124","31.738933563232422",
"2023-9-16 15:1:39.124","31.710474014282227",
"2023-9-16 15:1:40.156","32.00858688354492",
"2023-9-16 15:1:41.160","32.007144927978516",
"2023-9-16 15:1:42.152","32.05960464477539",
"2023-9-16 15:1:43.152","32.041168212890625",
"2023-9-16 15:1:44.162","32.055274963378906",
"2023-9-16 15:1:45.235","31.942472457885742",
"2023-9-16 15:1:46.170","31.94181251525879",
