"(PDH-CSV 4.0) (America/Sao_Paulo)(180)","\\desktop-qlgnca5\physicaldisk(0 c:)\% disk read time","\\desktop-qlgnca5\physicaldisk(0 c:)\% disk write time",
"2023-9-11 16:52:36.554","52.68698501586914","23.25864601135254",
"2023-9-11 16:52:37.554","11.512299537658691","0.035935912281274796",
"2023-9-11 16:52:38.556","","0.06335809826850891",
"2023-9-11 16:52:39.607","","0.13313770294189453",
"2023-9-11 16:52:40.572","","0.6809691190719604",
"2023-9-11 16:52:41.577","0.015801817178726196","0.44507458806037903",
"2023-9-11 16:52:42.577","","0.1788635551929474",
"2023-9-11 16:52:43.584","0.09266374260187149","0.1965492218732834",
"2023-9-11 16:52:44.580","","0.27602502703666687",
"2023-9-11 16:52:45.602","","0.14809855818748474",
"2023-9-11 16:52:46.600","","0.4320758581161499",
"2023-9-11 16:52:47.595","0.26454776525497437","",
"2023-9-11 16:52:48.621","","0.025626815855503082",
"2023-9-11 16:52:49.624","","0.28498604893684387",
"2023-9-11 16:52:50.619","0.05544666945934296","0.3836752772331238",
"2023-9-11 16:52:51.623","","0.03600119799375534",
"2023-9-11 16:52:52.625","","0.25744539499282837",
"2023-9-11 16:52:53.630","","0.284984290599823",
"2023-9-11 16:52:54.629","","0.05563462898135185",
"2023-9-11 16:52:55.638","","0.06008575111627579",
"2023-9-11 16:52:56.641","","0.18614135682582855",
"2023-9-11 16:52:57.636","0.017764437943696976","0.16859135031700134",
"2023-9-11 16:52:58.645","","0.6784729957580566",
"2023-9-11 16:52:59.651","","0.2313237339258194",
"2023-9-11 16:53:0.655","","0.11771974712610245",
"2023-9-11 16:53:1.666","","0.3857428729534149",
"2023-9-11 16:53:2.661","","",
"2023-9-11 16:53:3.662","","0.21823982894420624",
"2023-9-11 16:53:4.666","","0.2356715053319931",
"2023-9-11 16:53:5.675","","0.4040623903274536",
"2023-9-11 16:53:6.681","","",
"2023-9-11 16:53:7.682","","0.19090381264686584",
"2023-9-11 16:53:8.686","","0.2826699912548065",
"2023-9-11 16:53:9.696","","0.061048489063978195",
"2023-9-11 16:53:10.708","","",
"2023-9-11 16:53:11.706","","0.06809847056865692",
"2023-9-11 16:53:13.268","0.05272055044770241","0.05389240384101868",
"2023-9-11 16:53:15.174","0.02648182399570942","0.13642755150794983",
"2023-9-11 16:53:16.205","0.039531588554382324","",
"2023-9-11 16:53:18.190","0.9379370808601379","0.5838741660118103",
"2023-9-11 16:53:19.236","0.07470600306987762","0.2590489685535431",
"2023-9-11 16:53:21.182","0.0935816690325737","1.2391568422317505",
"2023-9-11 16:53:22.217","","0.10343917459249496",
"2023-9-11 16:53:24.179","","",
"2023-9-11 16:53:25.214","","0.059890422970056534",
"2023-9-11 16:53:27.188","0.008762958459556103","0.030629834160208702",
"2023-9-11 16:53:28.209","","",
"2023-9-11 16:53:29.209","","0.3470010459423065",
"2023-9-11 16:53:30.218","","0.1628810614347458",
