"(PDH-CSV 4.0) (America/Sao_Paulo)(180)","\\desktop-qlgnca5\physicaldisk(0 c:)\% disk read time","\\desktop-qlgnca5\physicaldisk(0 c:)\% disk write time",
"2023-9-17 23:54:6.857","","0.19430191814899445",
"2023-9-17 23:54:7.872","","",
"2023-9-17 23:54:8.867","","0.02415427565574646",
"2023-9-17 23:54:9.872","","0.49881821870803833",
"2023-9-17 23:54:10.876","","0.21488218009471893",
"2023-9-17 23:54:11.887","","0.08647996932268143",
"2023-9-17 23:54:12.878","","",
"2023-9-17 23:54:13.885","","",
"2023-9-17 23:54:14.885","","0.30312609672546387",
"2023-9-17 23:54:15.888","","",
"2023-9-17 23:54:16.894","","0.042056333273649216",
"2023-9-17 23:54:17.898","","0.27301859855651855",
"2023-9-17 23:54:18.899","","",
"2023-9-17 23:54:19.902","","",
"2023-9-17 23:54:20.906","","0.09499739855527878",
"2023-9-17 23:54:21.917","","",
"2023-9-17 23:54:22.920","","0.023231979459524155",
"2023-9-17 23:54:23.921","","",
"2023-9-17 23:54:24.930","","0.040573980659246445",
"2023-9-17 23:54:25.941","","0.15240658819675446",
"2023-9-17 23:54:26.954","","0.09705117344856262",
"2023-9-17 23:54:30.703","","",
"2023-9-17 23:54:31.704","","0.04305465146899223",
"2023-9-17 23:54:33.181","","0.036156073212623596",
"2023-9-17 23:54:35.230","","0.1948590874671936",
"2023-9-17 23:54:37.213","0.009597064927220345","0.4008790850639343",
"2023-9-17 23:54:38.333","","0.80157470703125",
"2023-9-17 23:54:40.182","0.140654057264328","0.4836108684539795",
"2023-9-17 23:54:41.206","","1.036203145980835",
"2023-9-17 23:54:43.228","","0.4696967601776123",
"2023-9-17 23:54:44.213","0.6530420184135437","0.887455403804779",
"2023-9-17 23:54:45.237","","0.772586464881897",
"2023-9-17 23:54:46.217","","0.3078877031803131",
