(PDH-CSV 4.0) (America/Sao_Paulo)(180),\\desktop-qlgnca5\informações do processador(_total)\% de utilitário do processador
13:06.8,57.76182175
13:07.8,42.93965912
13:08.8,32.15319824
13:09.9,32.11699295
13:10.8,35.6109314
13:11.9,37.44465637
13:12.9,46.36212158
13:13.9,41.68870926
13:14.9,46.11478424
13:15.9,52.38199234
13:16.9,51.24704361
13:17.9,44.27249146
13:18.9,52.04101944
13:19.9,43.26525116
13:20.9,31.1690197
13:21.9,31.31799316
13:22.9,30.837677
13:23.9,30.66533279
13:25.1,29.76874733
13:26.1,24.04886818
13:28.1,19.88691139
13:29.1,47.63920975
13:30.3,77.8787384
13:32.1,63.79658508
13:33.2,77.20061493
13:34.2,80.21144104
13:35.2,63.96257401
13:36.2,79.88437653
13:37.2,80.86065674
13:38.2,41.94001007
13:39.2,52.86565781
13:40.2,46.44436646
13:41.2,38.5496788
13:42.2,37.12252426
13:43.2,34.96562195
13:44.2,61.11323166
13:46.1,24.69859886
13:47.1,23.84016037
13:48.2,24.1664505
13:49.4,73.67324066
13:50.3,84.6937027
13:51.3,78.92150116
13:52.2,79.75164795
13:53.2,80.45721436
13:54.4,85.70638275
