"(PDH-CSV 4.0) (America/Sao_Paulo)(180)","\\desktop-qlgnca5\informações do processador(_total)\% de utilitário do processador",
"2023-9-13 13:41:50.599","99.99979400634766",
"2023-9-13 13:41:51.645","93.80413818359375",
"2023-9-13 13:41:53.596","42.93342971801758",
"2023-9-13 13:41:54.598","31.988405227661133",
"2023-9-13 13:41:55.607","31.112140655517578",
"2023-9-13 13:41:56.611","32.76700973510742",
"2023-9-13 13:41:57.612","30.098594665527344",
"2023-9-13 13:41:58.614","30.20465850830078",
"2023-9-13 13:41:59.622","31.783140182495117",
"2023-9-13 13:42:0.631","32.76070022583008",
"2023-9-13 13:42:1.632","30.93686866760254",
"2023-9-13 13:42:2.638","32.012359619140625",
"2023-9-13 13:42:3.835","59.07140350341797",
"2023-9-13 13:42:5.137","50.50685119628906",
"2023-9-13 13:42:6.184","13.194868087768555",
"2023-9-13 13:42:8.153","14.132208824157715",
"2023-9-13 13:42:10.137","47.993770599365234",
"2023-9-13 13:42:11.231","60.02992630004883",
"2023-9-13 13:42:13.184","71.24644470214844",
"2023-9-13 13:42:19.002","65.5962142944336",
"2023-9-13 13:42:19.997","89.9435806274414",
"2023-9-13 13:42:21.036","81.50300598144531",
"2023-9-13 13:42:21.978","74.7012939453125",
"2023-9-13 13:42:26.059","80.68367767333984",
"2023-9-13 13:42:27.184","65.67098999023438",
"2023-9-13 13:42:29.168","62.246299743652344",
"2023-9-13 13:42:31.168","63.557315826416016",
"2023-9-13 13:42:33.137","34.92343521118164",
"2023-9-13 13:42:35.137","48.0721549987793",
"2023-9-13 13:42:47.560","51.31156921386719",
"2023-9-13 13:42:48.591","74.71763610839844",
"2023-9-13 13:42:49.520","84.17950439453125",
"2023-9-13 13:42:53.647","77.00236511230469",
"2023-9-13 13:42:55.137","68.934326171875",
"2023-9-13 13:42:57.153","57.40261459350586",
"2023-9-13 13:42:59.137","64.31963348388672",
"2023-9-13 13:43:1.246","70.58489227294922",
"2023-9-13 13:43:3.137","67.59294128417969",
"2023-9-13 13:43:4.137","61.35736083984375",
"2023-9-13 13:43:46.831","76.36918640136719",
"2023-9-13 13:43:47.838","33.47564697265625",
"2023-9-13 13:43:48.842","32.43259048461914",
"2023-9-13 13:43:49.864","32.102745056152344",
"2023-9-13 13:43:54.445","57.16427993774414",
"2023-9-13 13:43:55.447","70.82501983642578",
"2023-9-13 13:43:56.454","75.50724792480469",
"2023-9-13 13:43:57.465","71.73944854736328",
"2023-9-13 13:43:58.480","73.77094268798828",
"2023-9-13 13:43:59.501","74.3077392578125",
"2023-9-13 13:44:0.476","80.11043548583984",
"2023-9-13 13:44:1.615","84.97528839111328",
