"(PDH-CSV 4.0) (America/Sao_Paulo)(180)","\\desktop-qlgnca5\physicaldisk(0 c:)\% disk read time","\\desktop-qlgnca5\physicaldisk(0 c:)\% disk write time",
"2023-9-16 15:0:19.153","0.07622703909873962","0.5839949250221252",
"2023-9-16 15:0:21.133","","0.15142376720905304",
"2023-9-16 15:0:22.122","","0.09352605044841766",
"2023-9-16 15:0:23.159","","0.13688576221466064",
"2023-9-16 15:0:25.149","","0.06690787523984909",
"2023-9-16 15:0:27.126","","0.15440545976161957",
"2023-9-16 15:0:28.160","0.08154666423797607","0.08802399039268494",
"2023-9-16 15:0:30.146","","0.2697986662387848",
"2023-9-16 15:0:32.114","","0.23890240490436554",
"2023-9-16 15:0:33.114","0.03186141327023506","0.16468730568885803",
"2023-9-16 15:0:34.114","","0.24494759738445282",
"2023-9-16 15:0:35.146","0.1583547741174698","0.0445045568048954",
"2023-9-16 15:0:37.114","","0.08090849965810776",
"2023-9-16 15:0:38.146","","0.28294867277145386",
"2023-9-16 15:0:40.114","","0.028072576969861984",
"2023-9-16 15:0:41.114","0.013682338409125805","0.13436296582221985",
"2023-9-16 15:0:42.115","","0.05780168995261192",
"2023-9-16 15:0:43.146","","0.46228352189064026",
"2023-9-16 15:0:44.442","","0.15519043803215027",
"2023-9-16 15:0:46.146","","0.08703110367059708",
"2023-9-16 15:0:48.115","0.043092161417007446","0.06905411183834076",
"2023-9-16 15:0:49.146","","0.22617016732692719",
"2023-9-16 15:0:50.161","","0.10817312449216843",
"2023-9-16 15:0:52.146","","0.053660403937101364",
"2023-9-16 15:0:54.115","","0.032451946288347244",
"2023-9-16 15:0:55.131","0.04298357293009758","0.04346553981304169",
"2023-9-16 15:0:56.166","","0.08801756054162979",
"2023-9-16 15:0:58.118","","0.056144751608371735",
"2023-9-16 15:0:59.153","","",
"2023-9-16 15:1:1.129","","0.044387560337781906",
"2023-9-16 15:1:3.115","","0.06077739968895912",
"2023-9-16 15:1:4.120","","0.09194334596395493",
"2023-9-16 15:1:5.163","","0.0341833159327507",
"2023-9-16 15:1:7.117","","0.043660782277584076",
"2023-9-16 15:1:8.156","0.1558804214000702","0.28515979647636414",
"2023-9-16 15:1:10.124","0.014868034981191158","0.15515686571598053",
"2023-9-16 15:1:11.124","0.046809494495391846","0.07792916148900986",
"2023-9-16 15:1:14.156","0.4618701934814453","0.5199317932128906",
"2023-9-16 15:1:23.993","0.04719442129135132","0.2744011878967285",
"2023-9-16 15:1:24.855","","0.1666565239429474",
"2023-9-16 15:1:25.843","","0.10107313841581345",
"2023-9-16 15:1:26.848","","0.19907833635807037",
"2023-9-16 15:1:27.855","0.1671055555343628","0.035337984561920166",
"2023-9-16 15:1:29.171","9.633289337158203","0.28601011633872986",
"2023-9-16 15:1:31.124","0.0076737841591238976","0.6332791447639465",
"2023-9-16 15:1:32.171","","",
"2023-9-16 15:1:34.124","","0.7754920721054077",
"2023-9-16 15:1:35.156","","0.471358060836792",
"2023-9-16 15:1:37.124","0.6729010343551636","0.6816273331642151",
"2023-9-16 15:1:38.187","0.7247412800788879","0.4624193608760834",
"2023-9-16 15:1:39.744","7.527224063873291","0.04501686990261078",
"2023-9-16 15:1:40.698","","0.5443894863128662",
"2023-9-16 15:1:41.731","","",
"2023-9-16 15:1:42.685","0.043575555086135864","1.722765326499939",
"2023-9-16 15:1:43.696","0.227203369140625","0.3177800178527832",
"2023-9-16 15:1:44.732","","0.23677341639995575",
"2023-9-16 15:1:45.750","0.020177599042654037","0.046104781329631805",
