"(PDH-CSV 4.0) (America/Sao_Paulo)(180)","\\desktop-qlgnca5\informações do processador(_total)\% de utilitário do processador",
"2023-9-13 0:3:53.678","58.7928581237793",
"2023-9-13 0:3:54.679","47.631221771240234",
"2023-9-13 0:3:55.684","32.53114700317383",
"2023-9-13 0:3:56.689","33.2149658203125",
"2023-9-13 0:3:57.697","31.553855895996094",
"2023-9-13 0:3:59.146","27.51404571533203",
"2023-9-13 0:4:0.162","45.93394470214844",
"2023-9-13 0:4:1.208","27.516582489013672",
"2023-9-13 0:4:3.193","17.51521110534668",
"2023-9-13 0:4:5.146","15.597319602966309",
"2023-9-13 0:4:6.177","24.5371036529541",
"2023-9-13 0:4:7.615","42.26713562011719",
"2023-9-13 0:4:9.177","20.52311897277832",
"2023-9-13 0:4:11.161","16.002872467041016",
"2023-9-13 0:4:13.162","32.03700637817383",
"2023-9-13 0:4:14.162","29.51604461669922",
"2023-9-13 0:4:16.256","38.6867790222168",
"2023-9-13 0:4:18.146","24.033206939697266",
"2023-9-13 0:4:19.146","44.46110534667969",
"2023-9-13 0:4:20.146","22.246519088745117",
"2023-9-13 0:4:22.146","35.99945831298828",
"2023-9-13 0:4:23.146","8.666919708251953",
"2023-9-13 0:4:24.146","11.45958423614502",
"2023-9-13 0:4:27.146","26.585519790649414",
"2023-9-13 0:4:51.474","23.923261642456055",
"2023-9-13 0:4:57.161","26.587186813354492",
"2023-9-13 0:5:13.727","35.267066955566406",
"2023-9-13 0:5:21.707","31.951053619384766",
"2023-9-13 0:5:22.712","55.21757125854492",
"2023-9-13 0:5:23.733","61.582786560058594",
"2023-9-13 0:5:24.724","59.78172302246094",
"2023-9-13 0:5:25.729","36.8823356628418",
"2023-9-13 0:5:26.716","41.601417541503906",
"2023-9-13 0:5:27.722","51.90000915527344",
"2023-9-13 0:5:28.723","61.5224723815918",
"2023-9-13 0:5:29.724","50.59535217285156",
"2023-9-13 0:5:30.740","44.2745475769043",
"2023-9-13 0:5:31.805","46.43113708496094",
"2023-9-13 0:5:32.739","50.07826614379883",
"2023-9-13 0:5:33.824","62.16380310058594",
"2023-9-13 0:5:34.766","80.6128158569336",
"2023-9-13 0:5:35.985","77.88105010986328",
"2023-9-13 0:5:36.772","35.73081588745117",
"2023-9-13 0:5:37.780","33.362388610839844",
"2023-9-13 0:5:38.792","61.30509567260742",
"2023-9-13 0:5:39.782","41.48491287231445",
"2023-9-13 0:5:40.798","42.770469665527344",
"2023-9-13 0:5:41.987","98.07416534423828",
"2023-9-13 0:5:43.010","89.40454864501953",
"2023-9-13 0:5:43.832","80.75336456298828",
"2023-9-13 0:5:44.817","66.40668487548828",
"2023-9-13 0:5:45.819","44.410213470458984",
"2023-9-13 0:5:46.822","46.33060836791992",
"2023-9-13 0:5:47.822","38.60954666137695",
