"(PDH-CSV 4.0) (America/Sao_Paulo)(180)","\\desktop-qlgnca5\memória\% bytes confirmados em uso",
"2023-9-16 15:4:19.138","31.454925537109375",
"2023-9-16 15:4:20.142","31.420818328857422",
"2023-9-16 15:4:22.133","31.336679458618164",
"2023-9-16 15:4:24.125","31.61107635498047",
"2023-9-16 15:4:25.581","32.99675369262695",
"2023-9-16 15:4:27.445","34.40470504760742",
"2023-9-16 15:4:28.301","34.792850494384766",
"2023-9-16 15:4:29.293","34.90210723876953",
"2023-9-16 15:4:30.300","34.87533950805664",
"2023-9-16 15:4:31.308","34.85484313964844",
"2023-9-16 15:4:32.946","35.30044174194336",
"2023-9-16 15:4:33.879","31.93282127380371",
"2023-9-16 15:4:34.876","31.91158103942871",
"2023-9-16 15:4:35.889","31.903661727905273",
"2023-9-16 15:4:36.888","31.875534057617188",
"2023-9-16 15:4:37.890","31.912158966064453",
"2023-9-16 15:4:38.903","31.91005516052246",
"2023-9-16 15:4:39.934","31.905269622802734",
"2023-9-16 15:4:40.931","31.88778305053711",
"2023-9-16 15:4:41.966","31.88072967529297",
"2023-9-16 15:4:42.937","31.919252395629883",
"2023-9-16 15:4:43.937","31.893474578857422",
"2023-9-16 15:4:44.965","31.898218154907227",
"2023-9-16 15:4:45.942","31.86798667907715",
"2023-9-16 15:4:47.122","31.720001220703125",
"2023-9-16 15:4:48.127","31.710268020629883",
"2023-9-16 15:4:50.167","31.81304931640625",
"2023-9-16 15:4:52.114","31.71356773376465",
"2023-9-16 15:4:53.133","31.732168197631836",
"2023-9-16 15:4:54.120","31.69092559814453",
"2023-9-16 15:4:55.154","31.702762603759766",
"2023-9-16 15:4:57.129","31.660362243652344",
"2023-9-16 15:4:58.142","31.732458114624023",
"2023-9-16 15:4:59.977","31.98821258544922",
"2023-9-16 15:5:0.923","32.0275993347168",
"2023-9-16 15:5:1.923","31.99481201171875",
"2023-9-16 15:5:2.921","32.01943588256836",
"2023-9-16 15:5:3.931","32.01114273071289",
