"(PDH-CSV 4.0) (America/Sao_Paulo)(180)","\\desktop-qlgnca5\informações do processador(_total)\% de utilitário do processador",
"2023-9-16 14:4:31.587","50.803043365478516",
"2023-9-16 14:4:32.591","31.133056640625",
"2023-9-16 14:4:33.595","31.822446823120117",
"2023-9-16 14:4:34.600","33.24371337890625",
"2023-9-16 14:4:35.605","31.057119369506836",
"2023-9-16 14:4:37.612","37.73018264770508",
"2023-9-16 14:4:38.608","31.091773986816406",
"2023-9-16 14:4:39.610","32.20533752441406",
"2023-9-16 14:4:40.614","31.929872512817383",
"2023-9-16 14:4:41.619","32.660728454589844",
"2023-9-16 14:4:42.631","31.835308074951172",
"2023-9-16 14:4:43.629","31.4794921875",
"2023-9-16 14:4:44.670","49.64790344238281",
"2023-9-16 14:4:45.645","62.553955078125",
"2023-9-16 14:4:46.645","38.930171966552734",
"2023-9-16 14:4:47.653","31.173852920532227",
"2023-9-16 14:4:49.150","26.24017906188965",
"2023-9-16 14:4:51.134","20.303190231323242",
"2023-9-16 14:4:52.181","56.49436950683594",
"2023-9-16 14:4:54.256","83.02865600585938",
"2023-9-16 14:4:56.134","60.22160339355469",
"2023-9-16 14:4:57.134","24.332117080688477",
"2023-9-16 14:4:58.165","46.739471435546875",
"2023-9-16 14:4:59.163","56.580078125",
"2023-9-16 14:5:0.155","56.502166748046875",
